yourlist:M20200504A94466D2655679D1FD8953E075198DA89B94A1F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ZNF436-AS1	Q8NC38	CA213_HUMAN	reviewed	Putative uncharacterized protein ZNF436-AS1 (ZNF436 antisense RNA 1) (ZNF436 antisense gene protein 1)	ZNF436-AS1 C1orf213	Homo sapiens (Human)	126
SNHG12	Q9BXW3	SNH12_HUMAN	reviewed	Putative uncharacterized protein SNHG12 (Transformation-related gene 11 protein) (TRG-11)	SNHG12 C1orf79 PNAS-123 TRG11	Homo sapiens (Human)	62
SSBP3-AS1	Q7Z2R9	SSAS1_HUMAN	reviewed	Putative uncharacterized protein SSBP3-AS1 (SSBP3 antisense RNA 1) (SSBP3 antisense gene protein 1)	SSBP3-AS1 C1orf191 MSTP128	Homo sapiens (Human)	100
HSD52	Q0P140	YA037_HUMAN	reviewed	Putative uncharacterized protein HSD52	HSD52	Homo sapiens (Human)	79
LINC01555	Q8NAE3	CA180_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01555	LINC01555 C1orf180	Homo sapiens (Human)	123
RUSC1-AS1	Q66K80	RUAS1_HUMAN	reviewed	Putative uncharacterized protein RUSC1-AS1 (RUSC1 antisense RNA 1) (RUSC1 antisense gene protein 1)	RUSC1-AS1 C1orf104	Homo sapiens (Human)	236
SNHG28	P0DPA3	SNH28_HUMAN	reviewed	Putative uncharacterized protein SNHG28 (Small nucleolar RNA host gene 2) (VSIG8 overlapping transcript protein) (VSIG8-OT1)	SNHG28 C1orf204	Homo sapiens (Human)	235
ANKRD36BP1	Q96IX9	A26L1_HUMAN	reviewed	Putative ankyrin repeat domain-containing protein 26-like 1 (Ankyrin repeat domain-containing protein 36B pseudogene 1)	ANKRD36BP1 ANKRD26L1	Homo sapiens (Human)	119
FMO6P	O60774	FMO6_HUMAN	reviewed	Putative dimethylaniline monooxygenase [N-oxide-forming] 6 (EC 1.14.13.8) (Dimethylaniline oxidase 6) (Flavin-containing monooxygenase 6) (FMO 6)	FMO6P FMO6	Homo sapiens (Human)	539
C1orf220	Q5T0J3	CA220_HUMAN	reviewed	Putative uncharacterized protein C1orf220	C1orf220	Homo sapiens (Human)	134
