yourlist:M20200502A94466D2655679D1FD8953E075198DA8958C1B8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
SAMD11	Q96NU1	SAM11_HUMAN	reviewed	Sterile alpha motif domain-containing protein 11 (SAM domain-containing protein 11)	SAMD11	Homo sapiens (Human)	681
NOC2L	Q9Y3T9	NOC2L_HUMAN	reviewed	Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor)	NOC2L NIR	Homo sapiens (Human)	749
KLHL17	Q6TDP4	KLH17_HUMAN	reviewed	Kelch-like protein 17 (Actinfilin)	KLHL17	Homo sapiens (Human)	642
PLEKHN1	Q494U1	PKHN1_HUMAN	reviewed	Pleckstrin homology domain-containing family N member 1 (PH domain-containing family N member 1) (Cardiolipin and phosphatidic acid-binding protein)	PLEKHN1 CLPABP	Homo sapiens (Human)	611
ISG15	P05161	ISG15_HUMAN	reviewed	Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP)	ISG15 G1P2 UCRP	Homo sapiens (Human)	165
AGRN	O00468	AGRIN_HUMAN	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	2068
INTS11	Q5TA45	INT11_HUMAN	reviewed	Integrator complex subunit 11 (Int11) (EC 3.1.27.-) (Cleavage and polyadenylation-specific factor 3-like protein) (CPSF3-like protein) (Protein related to CPSF subunits of 68 kDa) (RC-68)	INTS11 CPSF3L RC68	Homo sapiens (Human)	600
CPTP	Q5TA50	CPTP_HUMAN	reviewed	Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)	CPTP GLTPD1	Homo sapiens (Human)	214
TAS1R3	Q7RTX0	TS1R3_HUMAN	reviewed	Taste receptor type 1 member 3 (Sweet taste receptor T1R3)	TAS1R3 T1R3 TR3	Homo sapiens (Human)	852
MIB2	Q96AX9	MIB2_HUMAN	reviewed	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (Novel zinc finger protein) (Novelzin) (Putative NF-kappa-B-activating protein 002N) (RING-type E3 ubiquitin transferase MIB2) (Skeletrophin) (Zinc finger ZZ type with ankyrin repeat domain protein 1)	MIB2 SKD ZZANK1	Homo sapiens (Human)	1013
NADK	O95544	NADK_HUMAN	reviewed	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NADK	Homo sapiens (Human)	446
TMEM52	Q8NDY8	TMM52_HUMAN	reviewed	Transmembrane protein 52	TMEM52 UNQ3048/PRO9864	Homo sapiens (Human)	209
CFAP74	Q9C0B2	CFA74_HUMAN	reviewed	Cilia- and flagella-associated protein 74	CFAP74 C1orf222 KIAA1751	Homo sapiens (Human)	1584
GABRD	O14764	GBRD_HUMAN	reviewed	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta)	GABRD	Homo sapiens (Human)	452
PRKCZ	Q05513	KPCZ_HUMAN	reviewed	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	Homo sapiens (Human)	592
FAAP20	Q6NZ36	FAP20_HUMAN	reviewed	Fanconi anemia core complex-associated protein 20 (FANCA-associated protein of 20 kDa) (Fanconi anemia-associated protein of 20 kDa)	FAAP20 C1orf86 FP7162	Homo sapiens (Human)	180
PLCH2	O75038	PLCH2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	PLCH2 KIAA0450 PLCL4	Homo sapiens (Human)	1416
PANK4	Q9NVE7	PANK4_HUMAN	reviewed	4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4) (hPanK4)	PANK4	Homo sapiens (Human)	773
